,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
2171,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software,E10+
2172,DS,2007.6868551520836,Strategy,Nintendo,0.43,0.12,0.0,0.05,0.61,86.0,55.0,8.7,96.0,Intelligent Systems,E10+
2173,PSP,2009.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61,71.0,47.0,6.3,28.0,High Impact Games,E10+
2174,GBA,2004.0,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61,49.0,7.0,6.8,6.0,Skyworks Technologies,E
2175,PS2,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,81.0,29.0,8.1,12.0,Namco,T
2176,PSP,2009.0,Fighting,THQ,0.25,0.22,0.0,0.14,0.61,70.24982186119425,28.78324070115434,6.6,8.0,Yuke's,T
2177,PS3,2010.0,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,84.0,61.0,8.1,304.0,PlatinumGames,M
2178,PSV,2013.0,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.0,0.14,0.61,87.0,82.0,8.9,391.0,Media Molecule,E
2179,XB,2005.0,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,90.0,35.0,8.6,115.0,Valve Software,M
2180,X360,2009.0,Sports,Activision,0.46,0.1,0.0,0.05,0.61,46.0,43.0,3.0,67.0,Robomodo,E10+
2181,PS3,2014.0,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,77.0,24.0,6.3,130.0,2K Australia,M
2182,X360,2008.0,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,70.0,28.0,5.9,34.0,Kush Games,E
2183,PS3,2009.0,Role-Playing,Deep Silver,0.22,0.22,0.08,0.09,0.61,70.0,45.0,7.1,51.0,"Ascaron Entertainment GmbH, Ascaron Entertainment",M
2184,X360,2010.0,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,79.0,43.0,5.9,33.0,Konami,E
2185,X360,2009.0,Sports,Spike,0.56,0.0,0.0,0.05,0.61,64.0,29.0,5.3,26.0,2K Sports,E
2186,GBA,2005.0,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,85.0,30.0,7.3,70.0,TOSE,E10+
2187,PS3,2011.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.07,0.61,58.0,26.0,5.4,77.0,Spike,T
2188,GBA,2005.0,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61,71.0,9.0,6.0,8.0,Magic Pockets,E
2189,GBA,2004.0,Action,Atari,0.44,0.16,0.0,0.01,0.61,62.0,19.0,8.9,39.0,Webfoot Technologies,E
2190,GBA,2001.0,Action,Activision,0.43,0.16,0.0,0.01,0.61,84.0,8.0,8.7,11.0,Vicarious Visions,E
2191,DS,2009.0,Racing,Electronic Arts,0.25,0.29,0.0,0.07,0.61,67.0,11.0,7.3,4.0,EA Games,E
2192,PS2,2003.0,Fighting,Atari,0.5,0.02,0.0,0.08,0.61,75.0,34.0,7.7,35.0,CyberConnect2,T
2193,Wii,2010.0,Misc,Namco Bandai Games,0.47,0.08,0.01,0.04,0.61,59.0,14.0,5.9,8.0,TOSE,E10+
2194,GBA,2003.0,Sports,Activision,0.43,0.16,0.0,0.01,0.6,86.0,9.0,7.7,9.0,Vicarious Visions,E
2195,Wii,2009.0,Simulation,THQ,0.4,0.15,0.0,0.05,0.6,70.24982186119425,28.78324070115434,8.2,6.0,Blue Fang Games,E
2196,PS2,2005.0,Platform,Sega,0.5,0.02,0.0,0.08,0.6,45.0,28.0,6.0,137.0,Sonic Team,E10+
2197,GC,2001.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6,80.0,21.0,8.3,29.0,Nintendo,E
2198,PS3,2013.0,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,43.0,25.0,3.6,295.0,Gearbox Software,M
2199,PS2,2003.0,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51.0,24.0,7.8,29.0,Paradox Development,M
2200,PS3,2011.0,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,64.0,55.0,7.4,69.0,Ryu ga Gotoku Studios,M
2201,XB,2005.0,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6,88.0,48.0,8.8,27.0,EA Sports,T
2202,PS3,2013.0,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,62.0,25.0,5.9,140.0,Techland,M
2203,X360,2014.0,Misc,Ubisoft,0.42,0.13,0.0,0.06,0.6,70.24982186119425,28.78324070115434,8.3,6.0,Ubisoft,E10+
2204,XOne,2014.0,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,60.0,53.0,5.1,144.0,Microsoft Game Studios,E10+
2205,PS2,2007.0,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,72.0,7.0,6.0,9.0,Visual Concepts,E
2206,PS3,2013.0,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,68.0,26.0,8.5,75.0,Omega Force,T
2207,WiiU,2013.0,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,10.0,7.6,58.0,Avalanche Software,E10+
2208,PS2,2009.0,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6,61.0,9.0,6.7,14.0,Sanzaru Games,E10+
2209,X360,2009.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,77.0,77.0,7.6,94.0,Techland,M
2210,X360,2010.0,Fighting,Ubisoft,0.31,0.23,0.0,0.06,0.6,32.0,38.0,4.6,23.0,Ubisoft,T
2211,PS2,2001.0,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6,63.0,10.0,8.6,8.0,Ubisoft,E
2212,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,0.6,52.0,29.0,7.5,39.0,Appaloosa Interactive,M
2213,PS2,2001.0,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,87.0,24.0,8.6,94.0,Gearbox Software,M
2214,X360,2010.0,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.6,82.0,78.0,8.1,101.0,Black Rock Studio,E10+
2215,DS,2007.0,Action,Sega,0.28,0.25,0.0,0.06,0.6,43.0,7.0,4.9,8.0,Artificial Mind and Movement,E10+
2216,Wii,2007.6868551520836,Action,Sega,0.26,0.28,0.0,0.07,0.6,35.0,12.0,6.8,6.0,Shiny Entertainment,E10+
2217,Wii,2009.0,Role-Playing,Rising Star Games,0.32,0.12,0.11,0.04,0.6,81.0,58.0,8.7,101.0,Vanillaware,T
2218,Wii,2008.0,Action,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236.0,Ready at Dawn,T
2219,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,72.0,47.0,6.6,88.0,TT Games,E10+
2220,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,69.0,50.0,6.9,88.0,Yuke's,T
2221,WiiU,2013.0,Misc,Ubisoft,0.31,0.23,0.0,0.05,0.6,72.0,13.0,7.6,45.0,Ubisoft,E10+
2222,PS4,2014.0,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,60.0,28.0,3.6,306.0,EA Sports,E10+
2223,PC,2011.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.6,90.0,62.0,8.3,1180.0,Creative Assembly,T
2224,PS3,2014.0,Role-Playing,Electronic Arts,0.27,0.18,0.05,0.09,0.6,70.24982186119425,28.78324070115434,5.2,242.0,BioWare,M
2225,DS,2007.0,Simulation,Electronic Arts,0.33,0.02,0.21,0.03,0.6,69.0,27.0,6.3,18.0,Aki Corp.,E
2226,PS2,2004.0,Racing,THQ,0.29,0.23,0.0,0.08,0.59,62.0,8.0,8.1,8.0,Climax Group,E
2227,PSV,2014.0,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,70.24982186119425,28.78324070115434,3.1,42.0,EA Sports,E
2228,X360,2008.0,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.59,56.0,9.0,5.8,17.0,EA Bright Light,E
2229,PS3,2009.0,Sports,Activision,0.38,0.14,0.0,0.07,0.59,44.0,29.0,2.1,31.0,Robomodo,E10+
2230,GC,2002.0,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59,80.0,16.0,7.9,16.0,Dreamworks Games,T
2231,PC,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,86.0,28.0,8.0,1093.0,EA Redwood Shores,M
2232,PS2,2008.0,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59,70.24982186119425,28.78324070115434,8.0,4.0,Harmonix Music Systems,T
2233,PS3,2010.0,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,88.0,38.0,7.1,54.0,Electronic Arts,E10+
2234,PS3,2012.0,Action,Sega,0.0,0.0,0.59,0.0,0.59,83.0,34.0,8.5,180.0,Ryu ga Gotoku Studios,M
2235,PS2,2002.0,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,73.0,19.0,5.6,18.0,EA Sports,E
2236,XB,2004.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,90.0,31.0,8.5,19.0,EA Sports,E
2237,GC,2002.0,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59,62.0,11.0,7.3,22.0,Traveller's Tales,E
2238,XOne,2015.0,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,72.0,18.0,5.7,75.0,Yuke's,T
2239,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102.0,Ubisoft Montreal,M
2240,XB,2003.0,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,73.0,42.0,7.8,47.0,Team Ninja,M
2241,PS2,2010.0,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,77.0,8.0,6.8,82.0,Climax Group,M
2242,X360,2010.0,Racing,Activision,0.25,0.27,0.0,0.06,0.59,82.0,78.0,8.3,169.0,Bizarre Creations,E10+
2243,X360,2007.6868551520836,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59,74.0,48.0,4.9,44.0,EA Tiburon,E
2244,DS,2004.0,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.59,60.0,38.0,7.5,13.0,Gameloft,E
2245,PS2,2004.0,Platform,Capcom,0.29,0.22,0.0,0.08,0.59,81.0,26.0,9.0,20.0,Atomic Planet Entertainment,E
2246,PS3,2014.0,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,66.0,5.0,5.9,242.0,Kojima Productions,M
2247,GBA,2003.0,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59,81.0,25.0,9.6,116.0,TOSE,E
2248,PSP,2008.0,Action,Koch Media,0.35,0.13,0.0,0.1,0.59,70.24982186119425,28.78324070115434,7.7,12.0,Monkey Bar Games,E10+
2249,X360,2008.0,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,80.0,34.0,7.8,46.0,Ubisoft Montreal,T
2250,DS,2009.0,Misc,Nintendo,0.17,0.18,0.2,0.04,0.59,82.0,53.0,8.7,39.0,Intelligent Systems,E
2251,Wii,2008.0,Action,Sega,0.3,0.22,0.0,0.06,0.59,44.0,14.0,7.0,8.0,Artificial Mind and Movement,T
2252,PS3,2010.0,Fighting,Sony Computer Entertainment,0.29,0.21,0.0,0.09,0.59,48.0,39.0,7.5,77.0,Coldwood Interactive,T
2253,PS2,2003.0,Action,Capcom,0.22,0.17,0.14,0.06,0.58,58.0,30.0,5.1,38.0,"Valuewave Co.,Ltd.",E
2254,PC,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58,90.0,52.0,8.5,3069.0,Nixxes Software,M
2255,PSP,2007.0,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.58,67.0,34.0,7.7,47.0,TOSE,E10+
2256,X360,2012.0,Fighting,Namco Bandai Games,0.39,0.13,0.02,0.04,0.58,77.0,56.0,6.2,124.0,Project Soul,T
2257,PS2,2005.0,Role-Playing,Square Enix,0.06,0.04,0.47,0.01,0.58,58.0,23.0,8.0,35.0,Square Enix,E10+
2258,X360,2008.0,Action,Ubisoft,0.18,0.34,0.0,0.07,0.58,55.0,50.0,6.4,58.0,Ubisoft Montreal,T
2259,Wii,2008.0,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58,68.0,18.0,5.7,29.0,Pam Development,E
2260,X360,2010.0,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0.0,0.05,0.58,33.0,6.0,3.7,9.0,Farsight Studios,E
2261,PS2,2004.0,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.58,73.0,35.0,8.2,60.0,EA Games,T
2262,DS,2010.0,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,74.0,13.0,6.0,54.0,n-Space,T
2263,PS3,2008.0,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,81.0,20.0,7.3,25.0,EA Tiburon,E
2264,PS3,2011.0,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,90.0,30.0,7.8,87.0,SCEA San Diego Studios,E
2265,X360,2012.0,Adventure,Microsoft Game Studios,0.38,0.15,0.0,0.05,0.58,68.0,31.0,5.1,15.0,Asobo Studio,E
2266,WiiU,2013.0,Platform,Activision,0.38,0.15,0.0,0.05,0.58,89.0,7.0,6.0,96.0,Vicarious Visions,E10+
2267,PS2,2003.0,Action,Atari,0.28,0.22,0.0,0.07,0.58,38.0,21.0,6.3,23.0,Black Ops Entertainment,T
2268,Wii,2009.0,Misc,Activision,0.31,0.21,0.0,0.06,0.58,74.0,17.0,7.7,6.0,Beenox,T
2269,X360,2009.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,73.0,64.0,7.3,51.0,Ubisoft Romania,T
2270,PS3,2011.0,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70.0,51.0,7.9,181.0,Spicy Horse,M
2271,3DS,2013.0,Role-Playing,Atlus,0.28,0.0,0.27,0.03,0.58,83.0,48.0,8.3,251.0,Atlus,M
2272,X360,2006.0,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58,84.0,46.0,7.8,67.0,"Kush Games, Visual Concepts",E
2273,PS3,2011.0,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58,86.0,33.0,7.5,52.0,Electronic Arts,E10+
2274,PS2,2007.6868551520836,Racing,Electronic Arts,0.28,0.22,0.0,0.07,0.58,84.0,10.0,8.8,19.0,Monster Games Inc.,E
2275,PS2,2000.0,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58,77.0,23.0,6.8,13.0,Epic Games,M
2276,PS,2000.0,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58,42.0,5.0,7.6,47.0,Bandai,E
2277,XB,2005.0,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58,85.0,46.0,8.4,28.0,Ubisoft,M
2278,DS,2009.0,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.58,70.24982186119425,28.78324070115434,7.6,5.0,Exient Entertainment,E
2279,PS3,2013.0,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58,71.0,53.0,8.3,55.0,CyberConnect2,T
2280,PS2,2002.0,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58,78.0,33.0,6.6,25.0,KCET,T
2281,DS,2009.0,Role-Playing,Square Enix,0.22,0.1,0.23,0.03,0.58,71.0,49.0,7.1,38.0,Matrix Software,E10+
2282,PS3,2013.0,Platform,Ubisoft,0.14,0.34,0.0,0.1,0.58,91.0,23.0,8.7,310.0,Ubisoft Montpellier,E10+
2283,PSV,2012.0,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,79.0,45.0,7.2,79.0,Electronic Arts,E
2284,PS,2000.0,Action,Activision,0.32,0.22,0.0,0.04,0.58,77.0,14.0,8.7,32.0,Acquire,M
2285,GC,2002.0,Sports,Activision,0.45,0.12,0.0,0.02,0.58,91.0,19.0,8.6,21.0,Neversoft Entertainment,T
2286,PS2,2006.0,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,52.0,22.0,6.9,17.0,Cavia Inc.,T
2287,PS2,2005.0,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,78.0,27.0,8.5,29.0,EA Canada,E10+
2288,PS,1999.0,Role-Playing,SquareSoft,0.32,0.22,0.0,0.04,0.58,79.0,14.0,9.0,77.0,SquareSoft,M
2289,Wii,2008.0,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,70.0,37.0,8.4,25.0,Electronic Arts,E
2290,PS3,2014.0,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,70.24982186119425,28.78324070115434,7.8,34.0,Konami,E
2291,XB,2007.6868551520836,Sports,Electronic Arts,0.53,0.02,0.0,0.03,0.58,90.0,16.0,8.1,8.0,EA Sports,E
2292,Wii,2011.0,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,76.0,4.0,8.3,6.0,High Impact Games,E10+
2293,XB,2005.0,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,85.0,56.0,5.7,73.0,Ubisoft Montreal,M
2294,GBA,2002.0,Sports,Activision,0.41,0.15,0.0,0.01,0.57,85.0,13.0,8.8,4.0,Vicarious Visions,E
2295,PSP,2005.0,Racing,SouthPeak Games,0.53,0.0,0.0,0.04,0.57,63.0,32.0,7.8,16.0,Climax Group,E
2296,PS2,2005.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.57,0.0,0.57,78.0,22.0,8.4,109.0,Namco,T
2297,X360,2013.0,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,75.0,18.0,6.3,203.0,Overkill Software,M
2298,X360,2007.0,Shooter,Midway Games,0.29,0.22,0.0,0.06,0.57,62.0,48.0,6.1,65.0,Midway Studios - Austin,T
2299,GBA,2004.0,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,60.0,25.0,7.0,12.0,Vicarious Visions,E
2300,PS3,2012.0,Strategy,Take-Two Interactive,0.24,0.23,0.0,0.1,0.57,89.0,20.0,8.2,296.0,Firaxis Games,M
2301,PS2,2008.0,Action,Koch Media,0.22,0.02,0.0,0.33,0.57,70.24982186119425,28.78324070115434,5.3,6.0,Monkey Bar Games,E10+
2302,3DS,2011.0,Action,Activision,0.32,0.2,0.0,0.05,0.57,82.0,8.0,4.9,62.0,Vicarious Visions,E10+
2303,PC,2009.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.38,0.57,81.0,31.0,8.0,72.0,The Sims Studio,T
2304,GC,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,86.0,21.0,8.5,11.0,EA Sports,E
2305,XOne,2016.0,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,87.0,31.0,8.0,261.0,Respawn Entertainment,M
2306,PS3,2009.0,Fighting,PQube,0.36,0.1,0.06,0.06,0.57,87.0,50.0,8.4,112.0,Arc System Works,T
2307,X360,2008.0,Action,Sega,0.27,0.24,0.0,0.06,0.57,45.0,43.0,5.9,52.0,Secret Level,T
2308,PS2,2004.0,Fighting,Namco Bandai Games,0.47,0.02,0.0,0.08,0.57,73.0,27.0,7.9,27.0,CyberConnect2,T
2309,PS3,2009.0,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,88.0,35.0,7.9,40.0,EA Canada,E10+
2310,PS3,2010.0,Sports,505 Games,0.28,0.21,0.0,0.08,0.57,70.24982186119425,28.78324070115434,3.8,4.0,"Pipeworks Software, Inc.",E
2311,PS3,2010.0,Misc,MTV Games,0.43,0.08,0.0,0.05,0.57,91.0,34.0,8.0,95.0,Harmonix Music Systems,T
2312,XB,2001.0,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,71.0,30.0,7.5,13.0,Stormfront Studios,T
2313,PS2,2005.0,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,57.0,22.0,9.1,26.0,Omega Force,T
2314,XOne,2014.0,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,56.0,25.0,5.7,63.0,Yuke's,T
2315,PS2,2006.0,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,77.0,28.0,8.1,33.0,EA Canada,E
2316,XB,2002.0,Racing,Activision,0.42,0.11,0.02,0.02,0.57,74.0,36.0,5.2,13.0,Bunkasha Publishing,T
2317,X360,2013.0,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,60.0,27.0,7.2,249.0,Trion Worlds,M
2318,PS3,2011.0,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.05,0.57,80.0,39.0,7.8,126.0,Nippon Ichi Software,T
2319,DS,2008.0,Action,THQ,0.52,0.0,0.0,0.04,0.57,70.24982186119425,28.78324070115434,6.0,5.0,Natsume,E
2320,XB,2003.0,Platform,THQ,0.45,0.1,0.0,0.02,0.57,70.0,8.0,8.9,17.0,Heavy Iron Studios,E
2321,PS3,2012.0,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,67.0,16.0,6.4,107.0,id Software,M
2322,X360,2007.0,Platform,Activision,0.49,0.04,0.0,0.04,0.57,63.0,61.0,7.0,53.0,Treyarch,T
2323,PSP,2011.0,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,74.0,4.0,6.3,8.0,Konami,E
2324,Wii,2009.0,Shooter,Sega,0.28,0.23,0.0,0.06,0.57,69.0,79.0,8.2,258.0,High Voltage Software,T
2325,WiiU,2015.0,Misc,Ubisoft,0.27,0.25,0.0,0.05,0.57,73.0,7.0,6.9,11.0,Ubisoft,E10+
2326,X360,2011.0,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,66.0,31.0,5.3,13.0,Eurocom Entertainment Software,E10+
2327,XB,2002.0,Racing,Microsoft Game Studios,0.39,0.16,0.0,0.02,0.57,87.0,32.0,8.3,19.0,Digital Illusions,E
2328,PS2,2004.0,Action,Capcom,0.19,0.15,0.17,0.05,0.57,58.0,35.0,7.7,70.0,Capcom,M
2329,PS3,2008.0,Action,Take-Two Interactive,0.08,0.36,0.0,0.12,0.57,75.0,36.0,7.5,20.0,Pam Development,E
2330,PS2,2003.0,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,73.0,37.0,8.6,35.0,Ubisoft Paris,M
2331,PSP,2007.0,Action,Eidos Interactive,0.21,0.22,0.0,0.13,0.57,78.0,32.0,8.2,28.0,Crystal Dynamics,T
2332,3DS,2012.0,Role-Playing,Xseed Games,0.32,0.0,0.21,0.03,0.57,78.0,33.0,8.1,122.0,Neverland,E10+
2333,PS3,2009.0,Role-Playing,SouthPeak Games,0.36,0.11,0.03,0.07,0.57,77.0,66.0,8.0,96.0,Silicon Studio,E10+
2334,Wii,2009.0,Action,THQ,0.22,0.28,0.0,0.06,0.56,62.0,6.0,8.0,4.0,Asobo Studio,E10+
2335,PS,2000.0,Role-Playing,Capcom,0.11,0.08,0.34,0.04,0.56,83.0,10.0,8.9,45.0,Capcom,T
2336,PS3,2015.0,Role-Playing,Namco Bandai Games,0.05,0.07,0.42,0.02,0.56,70.24982186119425,28.78324070115434,8.0,47.0,"Namco Bandai Games, Bandai Namco Games",T
2337,GC,2003.0,Action,Activision,0.44,0.11,0.0,0.02,0.56,77.0,29.0,7.3,29.0,Exakt,M
2338,PS2,2007.0,Role-Playing,Square Enix,0.23,0.18,0.09,0.06,0.56,83.0,49.0,8.6,59.0,Vanilla Ware,T
2339,PC,2014.0,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,86.0,29.0,6.2,1727.0,Respawn Entertainment,M
2340,PS2,2006.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,66.0,18.0,8.6,14.0,EA Tiburon,E10+
2341,GBA,2003.0,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56,77.0,13.0,8.2,11.0,Griptonite Games,T
2342,PS2,2001.0,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56,78.0,18.0,7.6,8.0,Black Box,E
2343,Wii,2008.0,Platform,Vivendi Games,0.34,0.17,0.0,0.05,0.56,64.0,11.0,6.5,19.0,Etranges Libellules,E10+
2344,GBA,2004.0,Puzzle,Nintendo,0.31,0.11,0.13,0.01,0.56,66.0,10.0,7.5,6.0,Nintendo,E
2345,XB,2003.0,Simulation,Electronic Arts,0.4,0.14,0.0,0.02,0.56,81.0,26.0,8.9,12.0,Maxis,T
2346,PS2,2007.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,63.0,9.0,8.6,7.0,EA Canada,E
2347,PS,2001.0,Platform,Sony Computer Entertainment,0.31,0.21,0.0,0.04,0.56,65.0,10.0,6.9,8.0,Artificial Mind and Movement,E
2348,X360,2011.0,Shooter,THQ,0.25,0.26,0.0,0.06,0.56,76.0,57.0,7.8,232.0,Relic,M
2349,X360,2008.0,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56,78.0,47.0,7.6,36.0,Pam Development,E
2350,PS2,2004.0,Sports,Activision,0.28,0.21,0.0,0.07,0.56,55.0,4.0,8.4,16.0,Sand Grain Studios,T
2351,X360,2009.0,Misc,Warner Bros. Interactive Entertainment,0.4,0.11,0.0,0.05,0.56,71.0,50.0,7.2,31.0,TT Fusion,E10+
2352,XB,2005.0,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56,80.0,49.0,8.2,29.0,Digital Illusions,T
2353,PS3,2009.0,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,74.0,35.0,8.1,39.0,Ubisoft Romania,T
2354,PS2,2001.0,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,77.0,16.0,7.6,8.0,Acclaim Studios Austin,E
2355,GC,2005.0,Racing,Electronic Arts,0.43,0.11,0.0,0.02,0.56,80.0,18.0,9.1,22.0,EA Canada,T
2356,Wii,2008.0,Adventure,Disney Interactive Studios,0.19,0.31,0.0,0.06,0.56,50.0,4.0,5.8,5.0,Avalanche Software,E10+
2357,XB,2003.0,Fighting,THQ,0.43,0.11,0.0,0.02,0.56,68.0,26.0,7.3,25.0,Anchor,T
2358,PS2,2007.0,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56,67.0,22.0,7.8,53.0,Rockstar London,M
2359,PS2,2003.0,Role-Playing,Square Enix,0.15,0.12,0.26,0.04,0.56,56.0,35.0,8.1,38.0,Racjin,T
2360,PSP,2006.0,Sports,Activision,0.41,0.07,0.0,0.07,0.56,68.0,11.0,7.6,14.0,Page 44 Studios,T
2361,PS2,2005.0,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,64.0,41.0,7.3,70.0,Eurocom Entertainment Software,T
2362,DS,2006.0,Simulation,Ubisoft,0.5,0.01,0.0,0.04,0.56,70.24982186119425,28.78324070115434,7.8,9.0,MTO,E
2363,X360,2007.0,Sports,Activision,0.49,0.02,0.0,0.04,0.56,72.0,59.0,5.4,44.0,Neversoft Entertainment,T
2364,PS2,2003.0,Misc,Vivendi Games,0.27,0.21,0.0,0.07,0.56,56.0,6.0,6.5,8.0,Magenta Software,E
2365,GBA,2002.0,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56,47.0,5.0,7.0,4.0,Digital Illusions,E
2366,X360,2009.0,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,72.0,66.0,7.5,128.0,"id Software, Raven Software",M
